,n_image,train,val
0,2,0.7681,0.7728
1,3,0.7848,0.78
2,5,0.80815,0.8044
3,7,0.8299666666666666,0.812
4,9,0.8169333333333333,0.7964
5,11,0.83095,0.8038
6,13,0.8497166666666667,0.8081
